70.94.224.168,美国维吉尼亚州Herndon,US,Devices: Moxa Devices  Server Name: MG-MB3480_6906
62.88.112.73,比利时,BE,Moxa Nport Devices Status: Lock Fixed  Server Name: Hertel26
95.209.147.215,瑞典,DK,Devices: Moxa Devices  Server Name: OnCell_G3110-HSPA_6478
24.135.183.103,塞尔维亚,RS,Moxa Nport Devices Status: Fixed  Server Name: NP6150_103
5.19.179.22,俄罗斯,RU,Moxa Nport Devices Status: Lock Fixed  Server Name: NP5210_8790
42.65.0.14,台湾省,TW,Moxa Nport Devices Status: Lock Fixed  Server Name: 20142_G3110
194.225.71.197,伊朗Institute for Studies in Theoretical in Physicsand Mathematics,IR,Devices: Moxa Devices  Server Name: NP5650-8_4104
210.240.134.135,台湾省,TW,Devices: Moxa Devices  Server Name: MiiNePort_E1_105
95.209.146.140,瑞典,DK,Devices: Moxa Devices  Server Name: OnCell_G3110-HSPA_2748
89.200.101.55,荷兰,NL,Devices: Moxa Devices  Server Name: OnCell_G3110_V2_9493
78.88.200.73,波兰,PL,Moxa Nport Devices Status: Lock Fixed  Server Name: NP5150_1322
109.202.51.77,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4100T_5150
62.145.177.187,芬兰,FI,Moxa Nport Devices Status: Lock Fixed  Server Name: NP5150_1445
81.30.182.208,俄罗斯,RU,Moxa Nport Devices Status: Lock Fixed  Server Name: Pribor
60.248.224.226,台湾省台北市中华电信,TW,Moxa Nport Devices Status: Lock Fixed  Server Name: NP5110_8633
94.136.142.227,斯洛伐克,SK,Moxa Nport Devices Status: Lock Fixed  Server Name: NP5150_B7
109.73.199.231,俄罗斯,RU,Devices: Moxa Devices  Server Name: NPIA-5250_437
163.13.148.5,台湾省淡江大学,TW,Moxa Nport Devices Status: Fixed  Server Name: NP5130_5178
2.143.107.170,西班牙,ES,Devices: Moxa Devices  Server Name: OnCell_G3111_4492
84.92.210.200,英国,GB,Moxa Nport Devices Status: Fixed  Server Name: NP5110_5646
42.65.45.56,台湾省,TW,Devices: Moxa Devices  Server Name: OnCell_G3111_585
178.149.96.215,塞尔维亚,RS,Moxa Nport Devices Status: Fixed  Server Name: NP6150_103
37.182.37.34,意大利,IT,Moxa Nport Devices Status: Fixed  Server Name: NP5110_2659
166.130.43.60,美国,US,Moxa Nport Devices Status: Fixed  Server Name: NP5410_8034
163.13.132.206,台湾省淡江大学,TW,Moxa Nport Devices Status: Lock Fixed  Server Name: NP5130_1163
87.229.212.114,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4100T_3671
78.88.200.118,波兰,PL,Moxa Nport Devices Status: Lock Fixed  Server Name: Basztowa_23
92.39.71.58,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4100T_9264
199.168.80.108,北美地区,US,Moxa Nport Devices Status: Fixed  Server Name: NP5150A_5663
71.17.11.45,加拿大安大略省,CA,Moxa Nport Devices Status: Fixed  Server Name: NP5110_5113
37.113.130.91,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4110S_1470
